 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	71805620.5	64874265.95	58438206.95	51310958.99	12630969.04	10933298.37	41771428.79	12536479.52	40033080.41	48013336.15	41694365.59	11627900.83	44115495.89	65797476.11
B	76086493.07	74464501.43	79343381.43	81164651.27	54452177.87	69967421.1	80999800.72	38835784.84	63394195.03	66443585.49	61905832.0	11584271.65	42777515.46	7498682.81
C	73591689.82	87807473.98	79941159.91	78036337.78	188837621.53	116382288.97	109418048.71	43792576.23	87853216.95	83683136.61	72500407.96	50607931.74	60486832.68	21561461.08
D	61766774.98	58364188.93	51528786.96	49489884.56	44841612.3	72598650.49	45109246.12	22259052.18	54201947.32	79367500.72	63223959.05	51244896.82	31833044.56	60610750.15
E	61840285.1	80305138.92	81089826.13	79302186.84	49024174.21	44164668.8	60059388.26	22284638.76	76525141.6	93163912.76	76670155.17	47338723.14	70400901.46	130764588.66
F	70025658.85	65533051.28	70250659.12	71886756.99	102265619.72	24958856.21	37075286.69	26816163.22	70489482.98	98374779.79	76135869.73	23133950.21	52470668.5	131300097.23
G	73953929.37	56535450.1	75274801.43	73563896.03	96710169.18	20782018.77	44635799.75	23522875.59	45285747.86	83134398.15	82384230.3	13456792.41	42112470.02	16308171.01
H	62261126.24	66851703.92	47191381.5	69646688.48	39740086.94	46437660.81	43255839.61	26946788.37	50821841.95	78230936.64	76705468.07	12659457.7	69643361.71	6232690.56
I	61430331.57	48058639.1	46232773.47	51433981.55	15946703.49	12865364.6	46113113.56	20749269.61	40462743.24	73172092.21	76015374.68	17950334.69	74235258.35	12116597.52
J	46885569.19	43918573.62	37412787.41	47890113.47	12497218.78	11113585.78	27048831.99	13398365.22	33131395.39	64870914.66	71376589.14	42387640.99	64539958.56	7907315.57
K	62207744.02	58549007.08	62286636.95	55898425.8	64939830.99	46198590.7	34303964.95	34950834.79	54908266.23	82167562.11	88939510.75	47107763.76	74232590.19	12864247.59
L	71967984.41	100659763.14	67827579.03	58462326.74	28054584.98	70682673.77	96467520.13	84480529.28	69219391.34	118775797.8	122949388.29	60707254.75	9564546.8	11265068.18
M	111191789.73	119017795.91	126346391.01	120961926.87	137834776.85	112667964.66	110720210.66	80645694.89	46347720.32	129215690.66	122806358.08	50386377.21	54117220.15	18371417.31
N	62501551.07	80937205.81	60781147.32	47916455.86	44143650.23	78293069.19	59074913.71	90266378.65	47955192.58	103066283.87	115781678.18	42456818.11	23314797.84	23454239.64
O	59775433.92	53744327.48	52993238.88	60115384.47	40414317.15	84265226.99	65703259.8	81064421.63	52410437.63	85307961.8	97699284.41	49119527.66	141046115.89	22278484.57
P	55771032.27	57074217.95	42986913.95	59704233.05	53542530.3	56565560.4	56477622.72	94924599.7	36997344.67	81466324.28	94173739.25	42007315.25	8399877.3	10134412.63
Q	56724891.81	50874587.86	42054801.76	50441503.5	60484990.57	78533353.58	59853143.85	99948286.85	45184258.94	62014689.78	86518461.99	22867903.67	5358082.33	7056846.38
R	47064551.83	48130546.31	37642991.62	44623395.1	43475816.13	86984894.1	49618975.35	68106235.33	39514853.55	61597320.82	70236927.02	12676554.85	41429837.86	8854562.29
S	56290874.68	40826755.93	53421839.06	52964653.77	39902525.84	43223383.69	44776109.99	43005691.41	42804835.57	59258278.54	62505564.38	8770446.93	10455687.35	11188555.97
T	53363931.57	48827192.21	54936310.87	65656739.02	31384762.72	34697463.2	34844615.67	35891106.11	41764116.79	65353110.16	62545909.11	39023895.65	22188803.18	22888291.76
U	50350790.07	54998751.51	50535387.48	53063321.71	47667164.04	58118707.9	53570637.29	62970536.04	46800407.32	69193876.32	72281745.6	32408365.25	18830921.6	30961339.62
V	52895877.85	61811371.79	42863054.19	55699864.24	30927037.25	63259272.57	32102440.59	37190079.49	38294867.23	75373440.38	68915148.63	66479041.66	59464971.46	26344645.59
W	64688749.0	63989650.54	51669751.6	62171510.73	26441620.99	33537826.77	20526624.95	44111047.03	63053206.15	89075657.94	81545671.48	73704939.25	51703816.45	16244899.88
X	59742318.26	67983853.64	47364580.93	55282872.03	43060285.48	12615694.02	32287098.9	43820736.89	57967874.78	117427972.18	101054951.77	72205747.95	14165561.58	8208363.43
