title,year,rank,imdb_id
Citizen Kane,1941,1,tt0033467
Casablanca,1942,2,tt0034583
The Godfather,1972,3,tt0068646
Gone with the Wind,1939,4,tt0031381
Lawrence of Arabia,1962,5,tt0056172
The Wizard of Oz,1939,6,tt0032138
The Graduate,1967,7,tt0061722
On the Waterfront,1954,8,tt0047296
Schindler's List,1993,9,tt0108052
Singin' in the Rain,1952,10,tt0045152
It's a Wonderful Life,1946,11,tt0038650
Sunset Blvd.,1950,12,
The Bridge on the River Kwai,1957,13,tt0050212
Some Like It Hot,1959,14,tt0053291
Star Wars,1977,15,tt0076759
All About Eve,1950,16,tt0042192
The African Queen,1951,17,tt0043265
Psycho,1960,18,tt0054215
Chinatown,1974,19,tt0071315
One Flew Over the Cuckoo's Nest,1975,20,tt0073486
The Grapes of Wrath,1940,21,tt0032551
2001: A Space Odyssey,1968,22,tt0062622
The Maltese Falcon,1941,23,tt0033870
Raging Bull,1980,24,tt0081398
E.T. the Extra-Terrestrial,1982,25,tt0083866
Dr. Strangelove,1964,26,tt0057012
Bonnie and Clyde,1967,27,tt0061418
Apocalypse Now,1979,28,tt0078788
Mr. Smith Goes to Washington,1939,29,tt0031679
The Treasure of the Sierra Madre,1948,30,tt0040897
Annie Hall,1977,31,tt0075686
The Godfather Part II,1974,32,tt0071562
High Noon,1952,33,tt0044706
To Kill a Mockingbird,1962,34,tt0056592
It Happened One Night,1934,35,tt0025316
Midnight Cowboy,1969,36,tt0064665
The Best Years of Our Lives,1946,37,tt0036868
Double Indemnity,1944,38,tt0036775
Doctor Zhivago,1965,39,tt0059113
North by Northwest,1959,40,tt0053125
West Side Story,1961,41,tt0055614
Rear Window,1954,42,tt0047396
King Kong,1933,43,tt0024216
The Birth of a Nation,1915,44,tt0004972
A Streetcar Named Desire,1951,45,tt0044081
A Clockwork Orange,1971,46,tt0066921
Taxi Driver,1976,47,tt0075314
Jaws,1975,48,tt0073195
Snow White and the Seven Dwarfs,1937,49,tt0029583
Butch Cassidy and the Sundance Kid,1969,50,tt0064115
The Philadelphia Story,1940,51,tt0032904
From Here to Eternity,1953,52,tt0045793
Amadeus,1984,53,tt0086879
All Quiet on the Western Front,1930,54,tt0020629
The Sound of Music,1965,55,tt0059742
M*A*S*H,1970,56,tt0066026
The Third Man,1949,57,tt0041959
Fantasia,1940,58,tt0032455
Rebel Without a Cause,1955,59,tt0048545
Raiders of the Lost Ark,1981,60,tt0082971
Vertigo,1958,61,tt0052357
Tootsie,1982,62,tt0084805
Stagecoach,1939,63,tt0031971
Close Encounters of the Third Kind,1977,64,tt0075860
The Silence of the Lambs,1991,65,tt0102926
Network,1976,66,tt0074958
The Manchurian Candidate,1962,67,tt0056218
An American in Paris,1951,68,tt0043278
Shane,1953,69,tt0046303
The French Connection,1971,70,tt0067116
Forrest Gump,1994,71,tt0109830
Ben-Hur,1959,72,tt0052618
Wuthering Heights,1939,73,tt0032145
The Gold Rush,1925,74,tt0015864
Dances with Wolves,1990,75,tt0099348
City Lights,1931,76,tt0021749
American Graffiti,1973,77,tt0069704
Rocky,1976,78,tt0075148
The Deer Hunter,1978,79,tt0077416
The Wild Bunch,1969,80,tt0065214
Modern Times,1936,81,tt0027977
Giant,1956,82,tt0049261
Platoon,1986,83,tt0091763
Fargo,1996,84,tt0116282
Duck Soup,1933,85,tt0023969
Mutiny on the Bounty,1935,86,tt0026752
Frankenstein,1931,87,tt0021884
Easy Rider,1969,88,tt0064276
Patton,1970,89,tt0066206
The Jazz Singer,1927,90,tt0018037
My Fair Lady,1964,91,tt0058385
A Place in the Sun,1951,92,tt0043924
The Apartment,1960,93,tt0053604
Goodfellas,1990,94,tt0099685
Pulp Fiction,1994,95,tt0110912
The Searchers,1956,96,tt0049730
Bringing Up Baby,1938,97,tt0029947
Unforgiven,1992,98,tt0105695
Guess Who's Coming to Dinner,1967,99,tt0061735
Yankee Doodle Dandy,1942,100,tt0035575
