 	1	2	3	4	5	6	7	8	9	10	11	12
A	93624075.53	8578239.00	51704390.22	6778706.06	79723930.30	6853603.24	87754714.69	105126692.44	7450360.20	51666834.41	11445034.56	51295511.60
B	74468192.06	8734706.48	8796015.77	7941568.87	75685532.84	8613424.89	75562809.03	66815325.02	7796422.04	37811506.19	10056493.95	42779708.82
C	89839052.52	70833753.14	72976623.38	61654324.69	47259191.94	40637120.29	38449550.65	60338222.01	48583668.41	39732457.54	36775762.06	58650051.51
D	93887345.26	71263251.50	64545130.89	56068043.19	33160833.83	44484681.10	57953428.34	70381175.20	42662055.44	41777672.99	44043850.86	52733911.06
E	73317393.82	68758923.79	61949161.88	43323466.46	49496131.33	12082465.27	30498904.77	18871494.35	35436343.91	34604174.02	55231344.95	36625607.54
F	83706256.13	77729854.35	62325485.26	49708117.92	64863631.22	10727203.51	34272903.97	22408472.57	42459089.60	48181832.84	45645128.12	30126886.04
G	51026728.47	50078290.52	54825354.47	38745271.97	67753092.67	15628530.71	49940765.33	37202239.79	50312184.70	55268818.57	74673391.02	36062830.73
H	46485786.25	45902792.22	48306167.16	41269176.17	65261615.65	15289475.57	48979106.84	35438180.53	45944171.00	50997096.61	68045031.55	17822513.76
I	50532925.89	50794721.07	45561147.26	31290381.75	74844434.33	16943929.60	69262271.64	125215880.79	54500310.04	91532743.38	19074135.60	8127782.91
J	60040353.64	48416274.16	50114712.47	28789188.47	88253381.53	17332246.52	78243068.57	238604045.03	82582609.80	90346307.58	87281131.63	21529117.18
K	48285069.95	45169381.88	49761049.80	41964428.99	39709747.46	12777600.00	49702171.12	40270381.87	55457250.85	51350853.80	34087451.08	13481984.44
L	46055364.55	52327293.90	43704839.36	45094755.93	40488417.24	11164374.01	32396798.12	21551392.44	43897928.44	46824021.28	49377374.41	22709896.58
M	53530124.51	49034324.60	44174891.86	39802938.51	47890182.20	10575915.50	35462052.43	18423625.54	41657041.04	46050215.21	48425904.53	22189997.57
N	47678513.36	41028474.37	40803833.05	41156999.05	34130205.31	9763360.17	28667645.18	17596539.65	35172222.92	37883206.28	51249059.71	25798896.66
O	41046719.18	40084896.32	37664215.06	50184337.08	45370045.03	12562330.49	35357872.74	18775816.51	41183777.37	40204701.06	71805521.72	37409272.42
P	43207781.68	34314596.58	36775370.83	42918130.02	33120850.10	11910549.78	31664517.25	17890673.94	35737131.21	36900977.35	60564410.24	35898109.56
Q	40634931.15	32533804.11	32812825.75	32295702.52	18816114.77	10962240.86	29216652.73	15382412.05	34197003.74	35046686.45	202578701.85	33062717.28
R	38844190.62	29170959.83	34854317.37	33141023.26	25797419.10	15407703.07	27634691.61	18317811.37	31334855.79	36526623.20	70376789.19	50354455.83
S	68729131.55	60240394.87	56253963.29	57288023.48	57634601.72	64186179.55	53355796.73	64543266.81	48812566.14	104938683.69	20813571.08	8904725.68
T	81430145.71	82075724.28	68237020.94	70890779.24	75771975.51	84521150.26	74636308.33	84767788.50	65406586.64	128634914.55	61798154.91	45228380.88
U	64230507.46	51477157.67	45930400.40	64432311.39	43661105.13	19571839.62	44430728.83	26499490.02	46812395.47	45378494.91	28543820.75	30669405.21
V	56389497.64	49551546.71	41618751.74	48365520.70	49486410.93	17456700.77	43609920.16	26565443.90	38532550.88	45394612.80	32679635.05	32008734.37
W	75625399.01	56852307.90	64620712.08	62055362.52	76412705.03	37492979.41	47401186.85	37819135.23	49511151.84	45634332.75	34888826.49	40516799.81
X	62888209.42	74174925.86	91193619.51	149950984.80	86158012.27	650921275.69	43844581.66	44336077.17	48782405.61	53418117.08	44509901.47	42072138.53
